CITY,TIMEZONE,YEAR,STR_SWH,STR_EWH,STR_TOTAL_WORKINDARK
ARTVIN,  3.0,2025,09:00:00,18:00:00,119:24:59
ARTVIN,  3.0,2026,09:00:00,18:00:00,119:18:59
HATAY,  2.0,2024,07:00:00,16:00:00,0:00:00  
HATAY,  2.0,2025,07:00:00,16:00:00,0:00:00  
HATAY,  2.0,2026,07:00:00,16:00:00,0:00:00  
HATAY,  2.0,2024,07:30:00,16:30:00,5:35:59  
HATAY,  2.0,2025,07:30:00,16:30:00,5:32:59  
HATAY,  2.0,2026,07:30:00,16:30:00,5:36:59  
HATAY,  2.0,2024,08:00:00,17:00:00,46:45:59 
HATAY,  2.0,2025,08:00:00,17:00:00,46:15:59 
HATAY,  2.0,2026,08:00:00,17:00:00,46:14:59 
HATAY,  2.0,2024,08:30:00,17:30:00,114:04:59
HATAY,  2.0,2025,08:30:00,17:30:00,113:13:59
HATAY,  2.0,2026,08:30:00,17:30:00,113:04:59
HATAY,  2.0,2024,09:00:00,18:00:00,207:40:59
HATAY,  2.0,2025,09:00:00,18:00:00,206:18:59
HATAY,  2.0,2026,09:00:00,18:00:00,206:09:59
HATAY,  2.5,2024,07:00:00,16:00:00,12:03:00 
HATAY,  2.5,2025,07:00:00,16:00:00,11:48:00 
HATAY,  2.5,2026,07:00:00,16:00:00,11:45:00 
HATAY,  2.5,2024,07:30:00,16:30:00,0:00:00  
HATAY,  2.5,2025,07:30:00,16:30:00,0:00:00  
HATAY,  2.5,2026,07:30:00,16:30:00,0:00:00  
HATAY,  2.5,2024,08:00:00,17:00:00,5:35:59  
HATAY,  2.5,2025,08:00:00,17:00:00,5:32:59  
HATAY,  2.5,2026,08:00:00,17:00:00,5:36:59  
HATAY,  2.5,2024,08:30:00,17:30:00,46:45:59 
HATAY,  2.5,2025,08:30:00,17:30:00,46:15:59 
HATAY,  2.5,2026,08:30:00,17:30:00,46:14:59 
HATAY,  2.5,2024,09:00:00,18:00:00,114:04:59
HATAY,  2.5,2025,09:00:00,18:00:00,113:13:59
HATAY,  2.5,2026,09:00:00,18:00:00,113:04:59
HATAY,  3.0,2024,07:00:00,16:00:00,59:56:59 
HATAY,  3.0,2025,07:00:00,16:00:00,59:08:59 
HATAY,  3.0,2026,07:00:00,16:00:00,58:55:59 
HATAY,  3.0,2024,07:30:00,16:30:00,12:02:59 
HATAY,  3.0,2025,07:30:00,16:30:00,11:47:59 
HATAY,  3.0,2026,07:30:00,16:30:00,11:44:59 
HATAY,  3.0,2024,08:00:00,17:00:00,0:00:00  
HATAY,  3.0,2025,08:00:00,17:00:00,0:00:00  
HATAY,  3.0,2026,08:00:00,17:00:00,0:00:00  
HATAY,  3.0,2024,08:30:00,17:30:00,5:35:59  
HATAY,  3.0,2025,08:30:00,17:30:00,5:32:59  
HATAY,  3.0,2026,08:30:00,17:30:00,5:36:59  
HATAY,  3.0,2024,09:00:00,18:00:00,46:45:59 
HATAY,  3.0,2025,09:00:00,18:00:00,46:15:59 
HATAY,  3.0,2026,09:00:00,18:00:00,46:14:59 
EDIRNE,  2.0,2024,07:00:00,16:00:00,43:49:59 
EDIRNE,  2.0,2025,07:00:00,16:00:00,43:08:59 
EDIRNE,  2.0,2026,07:00:00,16:00:00,43:07:59 
EDIRNE,  2.0,2024,07:30:00,16:30:00,5:32:59  
EDIRNE,  2.0,2025,07:30:00,16:30:00,5:22:59  
EDIRNE,  2.0,2026,07:30:00,16:30:00,5:20:59  
EDIRNE,  2.0,2024,08:00:00,17:00:00,11:39:59 
EDIRNE,  2.0,2025,08:00:00,17:00:00,11:34:59 
EDIRNE,  2.0,2026,08:00:00,17:00:00,11:35:59 
EDIRNE,  2.0,2024,08:30:00,17:30:00,55:09:59 
EDIRNE,  2.0,2025,08:30:00,17:30:00,54:30:59 
